time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
1970/01/01/01:02:54.610000,3487,174,610000000,world,21.203573552786864,4.489391477070743,-16.1253316232921,0.027175659787492656,-0.0014658551656760008,0.9678877917332196,-0.24990509678183737
1970/01/01/01:02:54.660000,3488,174,660000000,world,21.176254769927876,4.483574898021864,-16.12815242139806,0.02668908751910508,-0.0013218517980441728,0.9680570534922587,-0.24930199858626856
1970/01/01/01:02:54.710000,3489,174,710000000,world,21.15007423332367,4.478008668967539,-16.131125603149947,0.026140802689468116,-0.001098897855387249,0.9684108239611142,-0.24798372304086708
1970/01/01/01:02:54.760000,3490,174,760000000,world,21.12471620372068,4.472551591172638,-16.13412379601437,0.025685405740857384,-0.0009524070410437921,0.9687949804813177,-0.24652715600306283
1970/01/01/01:02:54.810000,3491,174,810000000,world,21.100079321295524,4.467170642048998,-16.137179038953636,0.025311664947113524,-0.0009453670570529159,0.9691274754663803,-0.24525570777230268
1970/01/01/01:02:54.860000,3492,174,860000000,world,21.07621759622896,4.4619076062038765,-16.140365009450672,0.02495736000632137,-0.0010322353718548287,0.9693550354191945,-0.24439083448260476
1970/01/01/01:02:54.910000,3493,174,910000000,world,21.053152057882716,4.456782780695915,-16.143570141801565,0.024575312413686136,-0.0010559331214306468,0.9694093540857139,-0.24421392924264518
1970/01/01/01:02:54.960000,3494,174,960000000,world,21.03087496718512,4.451855116411291,-16.146831858915174,0.024149083027307665,-0.0009876396482872676,0.9692321208604421,-0.24495906239458623
1970/01/01/01:02:55.010000,3495,175,10000000,world,21.00936938309008,4.447262236791679,-16.150220322983106,0.023696134083505845,-0.0009110311910338331,0.9688575850636374,-0.24648051265023393
1970/01/01/01:02:55.060000,3496,175,60000000,world,20.988473557996915,4.442814581149435,-16.153614975146983,0.02331499616769134,-0.0009061831227959329,0.9684550524430481,-0.248093533134948
1970/01/01/01:02:55.110000,3497,175,110000000,world,20.968109143640575,4.438468967286076,-16.15699053036705,0.022997191177764467,-0.0009829270962209867,0.9681053521523587,-0.24948384754571626
1970/01/01/01:02:55.160000,3498,175,160000000,world,20.94829472690464,4.434279312982823,-16.160263844852178,0.022679821028317254,-0.0010305900178996766,0.9678547515309013,-0.2504830204652517
1970/01/01/01:02:55.230000,3499,175,210000000,world,20.929034618448814,4.430264190611302,-16.16348595856929,0.02233865812483664,-0.0009847954714007731,0.9677727180692955,-0.2508305816518972
1970/01/01/01:02:55.320000,3500,175,260000000,world,20.91031590734313,4.426415471351636,-16.166709852152426,0.02196470087360604,-0.0007892901832383181,0.9679332666292626,-0.25024412138738555
1970/01/01/01:02:55.320000,3501,175,310000000,world,20.8921146296587,4.422712444267359,-16.170054671231128,0.021564514502299053,-0.00044529293653384594,0.968398742675172,-0.24847263151829554
1970/01/01/01:02:55.390000,3502,175,360000000,world,20.874400959978907,4.419125451422263,-16.173628392654955,0.02115817608457733,-5.235144747177775e-06,0.9691740118826989,-0.24546703698981903
1970/01/01/01:02:55.410000,3503,175,410000000,world,20.857139551676735,4.415598313927457,-16.177226566158737,0.020797892577100945,0.0003531744158851004,0.970027358015446,-0.24210379516595118
1970/01/01/01:02:55.470000,3504,175,460000000,world,20.840297033751863,4.412090131335525,-16.180777040150982,0.02050015302813509,0.0005413513880647159,0.9708201208792092,-0.23893041572929796
